# en|category|emoji|日本語|example sentence|simple English definition (optional)
# emoji starting with ~ is decoration only (never used as a picture answer)
recommend|thinking|~👍|勧める|I recommend this restaurant.|to say that something is good and someone should try it
reduce|thinking|~📉|減らす|We should reduce plastic waste.|to make something smaller or less
refuse|thinking|~🙅|断る・拒む|He refused to help me.|to say no to something
repeat|thinking|~🔁|繰り返す|Please repeat after me.|to say or do something again
replace|thinking|~🔄|取り替える|We replaced the old windows.|to put something new in place of something old
report|thinking|~📰|報告する・報道する|The newspaper reported the accident.|to tell people about something that happened
respect|thinking|~🙇|尊敬する|I respect my teacher.|to think highly of someone
search|thinking|~🔍|探す|I searched the internet for information.|to look carefully for something
seem|thinking|~🤔|〜のように見える|She seems happy today.|to look like something is true
separate|thinking|~✂️|分ける|Please separate the trash.|to divide things or keep them apart
serve|thinking|~🍽️|(食事を)出す・仕える|They serve breakfast at seven.|to give food or drinks to people
succeed|thinking|~🏅|成功する|She succeeded in her new job.|to do what you tried to do
support|thinking|~🤝|支える・支持する|My family always supports me.|to help someone; or to agree with an idea
survive|thinking|~🌱|生き残る|Only one tree survived the storm.|to continue to live after something dangerous
trust|thinking|~🤝|信頼する|I trust my best friend.|to believe that someone is honest and good
warn|thinking|~⚠️|警告する|The teacher warned us about the ice.|to tell someone about a danger
ability|society|~💪🧠|能力|She has the ability to speak three languages.|the power or skill to do something
activity|society|~🏃|活動|Swimming is a good activity for children.|something that you do, often for fun
advantage|society|~⬆️|利点・有利|Speaking English is a big advantage.|something that helps you succeed
amount|society|~⚖️|量|Drink a large amount of water.|how much there is of something
area|society|~🗺️|地域・区域|This area is quiet at night.|a part of a place
attention|society|~👀|注意|Please pay attention to the teacher.|the act of watching or listening carefully
audience|society|~👏|観客・聴衆|The audience clapped loudly.|the people who watch or listen to a show
behavior|society|~🙋|ふるまい・行動|His behavior in class is good.|the way someone acts
century|society|~💯📅|世紀|This temple was built in the 12th century.|one hundred years
community|society|~🏘️|地域社会|Our community has a big park.|a group of people who live in the same area
condition|society|~🩺|状態・条件|The car is in good condition.|the state that something is in
conversation|society|~💬💬|会話|We had a long conversation.|a talk between two or more people
custom|society|~🎎|習慣・慣習|Taking off shoes at home is a Japanese custom.|something that people usually do in a place
damage|society|~🏚️|損害|The earthquake did great damage to the city.|harm done to something
decision|society|~⚖️|決定・決断|It was a hard decision.|a choice that you make
difference|society|~🔀|違い|What is the difference between these two words?|the way two things are not the same
direction|society|~🧭|方向|Which direction is the station?|the way you go or look
distance|society|~📏|距離|The distance from here to the station is two kilometers.|how far it is from one place to another
education|society|~🎓|教育|Education is important for children.|learning and teaching
electricity|society|~⚡|電気|This car runs on electricity.|energy that gives power to lights and machines
emergency|society|~🚨|緊急事態|Call 119 in an emergency.|a sudden, dangerous situation
energy|society|~🔋⚡|エネルギー|Solar energy is clean.|power that makes things work; or strength
entrance|society|~🚪|入口|Meet me at the entrance of the park.|a door or place where you go in
goal|society|~🎯|目標・ゴール|My goal is to pass the test.|something you want to achieve
habit|society|~🔁|習慣・癖|Reading every day is a good habit.|something you do often without thinking
health|society|~❤️‍🩹|健康|Sleep is important for your health.|the condition of your body
knowledge|society|~📚🧠|知識|He has a lot of knowledge about history.|things that you know and understand
material|society|~🪵|材料・素材|Wood is a common building material.|something used to make other things
mind|society|~🧠|心・精神|I changed my mind.|the part of you that thinks and feels
mistake|society|~❌|間違い|Don't be afraid of making mistakes.|something that is wrong
pollution|society|~🏭💨|汚染|Air pollution is a big problem.|dirt and harmful things in the air, water, or land
product|society|~📦|製品|This company makes new products.|something that is made to be sold
project|society|~📋|計画・研究課題|We are working on a class project.|a planned piece of work
quality|society|~💎|質|This shop sells high quality clothes.|how good or bad something is
relationship|society|~🤝|関係|I have a good relationship with my parents.|the way people or things are connected
research|society|~🔬|研究・調査|She does research on the ocean.|careful study to find new facts
resource|society|~🛢️|資源|Water is an important resource.|something useful, like water or oil
role|society|~🎭|役割|Teachers play an important role in society.|the part someone plays
safety|society|~🦺|安全|Wear a helmet for your safety.|being safe from danger
situation|society|~🧩|状況|The situation is getting better.|what is happening at a time and place
skill|society|~🛠️|技術・腕前|Cooking is a useful skill.|the ability to do something well
solution|society|~🔑|解決策|We need to find a solution.|an answer to a problem
speech|society|~🎤|演説・スピーチ|She made a speech at the ceremony.|a talk given to a group of people
success|society|~🏆|成功|Hard work is the key to success.|getting what you worked for
temperature|society|~🌡️|温度・気温|The temperature is 30 degrees today.|how hot or cold something is
tradition|society|~🎍|伝統|Making mochi at New Year is a family tradition.|a custom passed from older people to younger people
trouble|society|~😣|困難・トラブル|I have trouble sleeping.|problems or difficulties
value|society|~💰|価値|The value of this old coin is high.|how much something is worth, or how important it is
view|society|~🏔️|眺め・見方|The view from this hill is beautiful.|what you can see from a place; or an opinion
generation|society|~👴👨👦|世代|My parents' generation did not have smartphones.|people born around the same time
ceremony|society|~🎎🎓|式・儀式|The graduation ceremony was moving.|a formal event for a special day
disaster|society|~🌪️|災害|Earthquakes are natural disasters.|a sudden event that causes great damage
passenger|people|~🧳|乗客|The passengers got off the train.|a person who travels in a car, bus, train, or plane
customer|people|~🛍️|客|The store was full of customers.|a person who buys things
citizen|people|~🪪|市民・国民|Every citizen has the right to vote.|a person who lives in a city or country
tourist|people|~📸🧳|観光客|Many tourists visit Kyoto every year.|a person who travels for fun
engineer|people|🧑‍🔧|技術者|My sister is an engineer.|a person who designs or builds machines, roads, or bridges
author|people|~✍️📚|作家・著者|Who is the author of this book?|a person who writes books
president|people|~🎤🏛️|大統領・社長|The president gave a speech on TV.|the leader of a country or company
earthquake|nature|~🏚️|地震|We had a big earthquake last night.|a sudden shaking of the ground
typhoon|nature|🌀|台風|A typhoon is coming this weekend.
volcano|nature|🌋|火山|Mt. Fuji is a volcano.
desert|nature|🏜️|砂漠|It is very hot in the desert.
ocean|nature|~🌊🐋|海洋|The Pacific Ocean is very big.
plastic|objects|~🧴|プラスチック・ビニール|Don't use too many plastic bags.|a light material made from oil
battery|objects|🔋|電池|My phone battery is low.
smartphone|objects|~📱✨|スマートフォン|Many students have a smartphone.
internet|objects|~🌐💻|インターネット|I use the internet every day.
available|qualities|~🟢|利用できる・手に入る|Tickets are available online.|able to be used or bought
comfortable|qualities|~🛋️|快適な|This chair is very comfortable.|making you feel relaxed
convenient|qualities|~👌|便利な|This store is very convenient.|easy to use; saving time
correct|qualities|~✅|正しい|Your answer is correct.|right; without mistakes
enough|qualities|~🆗|十分な|We have enough food for everyone.|as much as you need
equal|qualities|~🟰|等しい・平等な|All people are equal.|the same in size, number, or value
excellent|qualities|~💯|優れた|Your English is excellent.|very, very good
fresh|qualities|~🥬|新鮮な|These vegetables are fresh.|new and not old; or clean and cool
global|qualities|~🌐|地球規模の|Global warming is a serious problem.|about the whole world
international|qualities|~🌍🤝|国際的な|This is an international school.|between many countries
local|qualities|~📍|地元の|I buy vegetables at a local market.|of the area near you
modern|qualities|~🏙️|現代的な|This is a modern building.|new; of the present time
natural|qualities|~🌿|自然の|This park has a lot of natural beauty.|made by nature, not by people
negative|qualities|~➖|否定的な・悪い|Don't be so negative.|bad or harmful; or saying no
normal|qualities|~😐|普通の|It is normal to feel nervous before a test.|usual; ordinary
positive|qualities|~➕|前向きな・よい|She always has a positive attitude.|good or helpful; or hopeful
private|qualities|~🔒|個人的な・私立の|This is a private beach.|for one person or group only
public|qualities|~🏞️|公共の|This is a public park.|open to everyone
serious|qualities|~😐❗|深刻な・まじめな|This is a serious problem.|important and not funny; or very bad
simple|qualities|~🔹|簡単な・単純な|The rules of the game are simple.|easy to understand or do
strange|qualities|~🤨|奇妙な|I heard a strange sound.|unusual; not normal
traditional|qualities|~🏯|伝統的な|Sushi is a traditional Japanese food.|following old customs
unique|qualities|~🦄|独特の・唯一の|Each person has a unique voice.|the only one of its kind
usual|qualities|~🔁|いつもの|I got up at the usual time.|done or happening most of the time
nervous|qualities|~😬|緊張した|I was nervous before the speech.|worried and a little afraid
patient|qualities|~⏳🙂|我慢強い|Please be patient.|able to wait calmly
calm|qualities|~😌|落ち着いた|Stay calm in an emergency.|quiet and not worried
abroad|adverbs|~✈️🌍|外国へ・外国で|I want to study abroad.|in or to another country
actually|adverbs|~💬|実は|Actually, I don't like coffee.|in fact; really
especially|adverbs|~⭐|特に|I like fruit, especially apples.|more than usual; particularly
finally|adverbs|~🏁|ついに・最後に|We finally arrived at the hotel.|at last; after a long time
however|adverbs|~↔️|しかしながら|It was cold. However, we went out.|but
instead|adverbs|~🔄|代わりに|Let's walk instead of taking the bus.|in place of something else
probably|adverbs|~🤔|たぶん|It will probably be sunny tomorrow.|very likely
recently|adverbs|~🆕|最近|I recently started yoga.|not long ago
suddenly|adverbs|~⚡|突然|Suddenly, it started to rain.|quickly and without warning
almost|adverbs|~🤏|ほとんど|I almost missed the bus.|nearly
